source_id,target_id,relation,prov,namespace_source_id,namespace_target_id,source_to_target
MONDO:0000001,MESH:D004194,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000001,DOID:4,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000001,SNOMED:64572001,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000001,EFO:0000408,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
MONDO:0000001,ORPHANET:377788,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000004,SNOMED:386584007,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000004,MESH:D000309,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000004,DOID:10493,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000009,MESH:D001791,xref,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000009,DOID:2218,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000009,SNOMED:22716005,xref,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000015,SNOMED:363009005,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000022,MESH:D053206,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000023,ORPHANET:464724,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000032,DOID:0111297,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000044,ORPHANET:437,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000044,ICD10:E83.3,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000044,MEDDRA:10060873,xref,MONDO,MONDO,MEDDRA,MONDO to MEDDRA
MONDO:0000050,MEDDRA:10035083,xref,MONDO,MONDO,MEDDRA,MONDO to MEDDRA
MONDO:0000050,SNOMED:2109003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000050,DOID:0060870,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000050,ICD10:E23.0,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000050,ORPHANET:631,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000062,DOID:0080637,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000078,SNOMED:205260006,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000079,DOID:0080655,equivalent_to,MONDO,MONDO,DOID,MONDO to DOID
MONDO:0000082,EFO:0004710,equivalent_to,MONDO,MONDO,EFO,MONDO to EFO
MONDO:0000082,MESH:D056887,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000082,SNOMED:237113009,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000087,SNOMED:4945003,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000087,ORPHANET:35981,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000087,ICD10:Q04.3,xref,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000087,MESH:D065706,equivalent_to,MONDO,MONDO,MESH,MONDO to MESH
MONDO:0000088,SNOMED:400179000,equivalent_to,MONDO,MONDO,SNOMED,MONDO to SNOMED
MONDO:0000088,MEDDRA:10044701,xref,MONDO,MONDO,MEDDRA,MONDO to MEDDRA
MONDO:0000088,ORPHANET:95708,equivalent_to,MONDO,MONDO,ORPHANET,MONDO to ORPHANET
MONDO:0000088,ICD10:E30.1,equivalent_to,MONDO,MONDO,ICD10,MONDO to ICD10
MONDO:0000088,MEDDRA:10058084,xref,MONDO,MONDO,MEDDRA,MONDO to MEDDRA
