default_id,namespace_default_id
MONDO:0006775,MONDO
MONDO:0019184,MONDO
MONDO:0002932,MONDO
MONDO:0005409,MONDO
MONDO:0023663,MONDO
MONDO:0044630,MONDO
MONDO:0004823,MONDO
MONDO:0022314,MONDO
MONDO:0009065,MONDO
MONDO:0012026,MONDO
MONDO:0011910,MONDO
MONDO:0006697,MONDO
MONDO:0021286,MONDO
MONDO:0022885,MONDO
MONDO:0021448,MONDO
MONDO:0005863,MONDO
MONDO:0022698,MONDO
MONDO:0022856,MONDO
MONDO:0021214,MONDO
MONDO:0021215,MONDO
MONDO:0045027,MONDO
MONDO:0016069,MONDO
MONDO:0006308,MONDO
MONDO:0021466,MONDO
MONDO:0021219,MONDO
MONDO:0018220,MONDO
MONDO:0021278,MONDO
MONDO:0018732,MONDO
MONDO:0006024,MONDO
MONDO:0002393,MONDO
MONDO:0006124,MONDO
MONDO:0006413,MONDO
MONDO:0021544,MONDO
MONDO:0006125,MONDO
MONDO:0003683,MONDO
MONDO:0001605,MONDO
MONDO:0016247,MONDO
MONDO:0021436,MONDO
MONDO:0021434,MONDO
MONDO:0005248,MONDO
MONDO:0021216,MONDO
MONDO:0021433,MONDO
MONDO:0021347,MONDO
MONDO:0017206,MONDO
MONDO:0006261,MONDO
MONDO:0006062,MONDO
MONDO:0000528,MONDO
MONDO:0004915,MONDO
MONDO:0015370,MONDO
MONDO:0021422,MONDO
MONDO:0003625,MONDO
MONDO:0020318,MONDO
MONDO:0021236,MONDO
MONDO:0021362,MONDO
MONDO:0018073,MONDO
MONDO:0000529,MONDO
MONDO:0003576,MONDO
MONDO:0021307,MONDO
MONDO:0020486,MONDO
MONDO:0024384,MONDO
MONDO:0018219,MONDO
MONDO:0025190,MONDO
MONDO:0042492,MONDO
MONDO:0015527,MONDO
MONDO:0021556,MONDO
MONDO:0020691,MONDO
MONDO:0003323,MONDO
MONDO:0005332,MONDO
MONDO:0021536,MONDO
MONDO:0017888,MONDO
MONDO:0006934,MONDO
MONDO:0002780,MONDO
MONDO:0004036,MONDO
MONDO:0021504,MONDO
MONDO:0021376,MONDO
MONDO:0021213,MONDO
MONDO:0004916,MONDO
MONDO:0022728,MONDO
MONDO:0023033,MONDO
MONDO:0000915,MONDO
MONDO:0000842,MONDO
MONDO:0023070,MONDO
MONDO:0022326,MONDO
MONDO:0023211,MONDO
MONDO:0000843,MONDO
MONDO:0000817,MONDO
MONDO:0001201,MONDO
MONDO:0000821,MONDO
MONDO:0000823,MONDO
MONDO:0003597,MONDO
MONDO:0018803,MONDO
MONDO:0024253,MONDO
MONDO:0018802,MONDO
MONDO:0018817,MONDO
MONDO:0021217,MONDO
MONDO:0005681,MONDO
MONDO:0000575,MONDO
MONDO:0032840,MONDO
MONDO:0006023,MONDO
MONDO:0000140,MONDO
MONDO:0000559,MONDO
MONDO:0002773,MONDO
MONDO:0021226,MONDO
MONDO:0042978,MONDO
MONDO:0006885,MONDO
MONDO:0022267,MONDO
MONDO:0003986,MONDO
MONDO:0004137,MONDO
MONDO:0004347,MONDO
MONDO:0024269,MONDO
MONDO:0025169,MONDO
MONDO:0005860,MONDO
MONDO:0005274,MONDO
MONDO:0032856,MONDO
MONDO:0021255,MONDO
MONDO:0021256,MONDO
MONDO:0001659,MONDO
MONDO:0022808,MONDO
MONDO:0023539,MONDO
MONDO:0006707,MONDO
MONDO:0002733,MONDO
MONDO:0014188,MONDO
MONDO:0024581,MONDO
MONDO:0020758,MONDO
MONDO:0014913,MONDO
MONDO:0030016,MONDO
MONDO:0032576,MONDO
